,arrHC,arrLocation,arrTime,depHC,depLocation,depTime,diagramCode,tillDate,fromDate,Sun,Mon,Tue,Wed,Thurs,Fri,Sat
0,5D58,BrtnUNCmd,22+21,5M56,PoldieCMD,11+19,VW 501,2017-12-03,2017-05-21,1,0,0,0,0,0,0
1,5D44,BrtnUNCmd,00+01,5M52,PoldieCMD,06+23,VW 501,2017-12-06,2017-05-22,0,1,1,1,0,0,0
2,5D44,BrtnUNCmd,00+01,5M52,PoldieCMD,06+49,VW 501,2017-12-08,2017-05-25,0,0,0,0,1,1,0
3,1D90,Holyhead,19.52,5D80,BrtnUNCmd,04+46,VW 501,2017-12-09,2017-05-27,0,0,0,0,0,0,1
4,5D60,BrtnUNCmd,21+54,5P51,Crewe CS,08+59,VW 502,2017-12-03,2017-05-21,1,0,0,0,0,0,0
7,5S93,PoldieCMD,00+36,5M52,PoldieCMD,06+49,VW 502,2017-12-08,2017-05-26,0,0,0,0,0,1,0
8,5K38,Crewe CS,21+19,5M51,PoldieCMD,07+28,VW 502,2017-12-09,2017-05-27,0,0,0,0,0,0,1
9,5S93,PoldieCMD,00+36,5M52,PoldieCMD,06+23,VW 502,2017-12-05,2017-11-09,0,1,1,0,0,0,0
10,5S93,PoldieCMD,00+21,5M52,PoldieCMD,06+23,VW 502,2017-12-06,2017-09-13,0,0,0,1,0,0,0
11,5S93,PoldieCMD,00+21,5M52,PoldieCMD,06+49,VW 502,2017-12-07,2017-09-14,0,0,0,0,1,0,0
12,5D19,BrtnUNCmd,23+12,5P51,Crewe CS,08+59,VW 503,2017-12-03,2017-05-21,1,0,0,0,0,0,0
13,5D21,BrtnUNCmd,22+42,5J25,Crewe CS,06+01,VW 503,2017-12-08,2017-05-22,0,1,1,1,1,1,0
14,5S85,PoldieCMD,22+55,5C47,Crewe CS,04+55,VW 503,2017-12-09,2017-05-27,0,0,0,0,0,0,1
15,5D75,BrtnUNCmd,01+05,1A35,Holyhead,11.50,VW 504,2017-12-03,2017-05-21,1,0,0,0,0,0,0
16,5D32,BrtnUNCmd,19+38,5D28,BrtnUNCmd,09+30,VW 504,2017-12-08,2017-05-22,0,1,1,1,1,1,0
17,5D37,BrtnUNCmd,21+02,5S39,BrtnUNCmd,06+29,VW 504,2017-12-09,2017-05-27,0,0,0,0,0,0,1
18,1D91,Holyhead,21.03,5M54,PoldieCMD,08+50,VW 505,2017-12-03,2017-05-21,1,0,0,0,0,0,0
19,5K77,Crewe CS,00+37,5P46,Crewe CS,04+53,VW 505,2017-12-07,2017-05-22,0,1,1,1,1,0,0
20,5D62,BrtnUNCmd,23+45,5P46,Crewe CS,04+53,VW 505,2017-12-08,2017-05-26,0,0,0,0,0,1,0
21,5D37,BrtnUNCmd,21+02,5S39,BrtnUNCmd,06+29,VW 505,2017-12-09,2017-05-27,0,0,0,0,0,0,1
22,5D58,BrtnUNCmd,22+21,5M56,PoldieCMD,11+19,VW 506,2017-12-03,2017-05-21,1,0,0,0,0,0,0
23,5D62,BrtnUNCmd,23+45,5M48,PoldieCMD,05+16,VW 506,2017-12-07,2017-05-22,0,1,1,1,1,0,0
24,5D62,BrtnUNCmd,23+45,5M48,PoldieCMD,05+16,VW 506,2017-12-08,2017-05-26,0,0,0,0,0,1,0
25,5S77,PoldieCMD,20+55,5M50,PoldieCMD,05+08,VW 506,2017-12-09,2017-05-27,0,0,0,0,0,0,1
27,5D38,BrtnUNCmd,22+57,5J21,BrtnUNCmd,04+30,VW 507,2017-12-08,2017-05-22,0,1,1,1,1,1,0
28,5S77,PoldieCMD,20+55,5M50,PoldieCMD,05+08,VW 507,2017-12-09,2017-05-27,0,0,0,0,0,0,1
30,5S93,PoldieCMD,00+14,5C93,Crewe CS,09+55,VW 507,2017-12-03,2017-09-17,1,0,0,0,0,0,0
31,1D92,Holyhead,21.54,5D83,BrtnUNCmd,09+27,VW 508,2017-12-03,2017-05-21,1,0,0,0,0,0,0
32,5D38,BrtnUNCmd,22+57,5J21,BrtnUNCmd,04+30,VW 508,2017-12-08,2017-05-22,0,1,1,1,1,1,0
33,5S85,PoldieCMD,22+55,5W51,BrtnUNCmd,09+05,VW 508,2017-12-09,2017-05-27,0,0,0,0,0,0,1
35,5S77,PoldieCMD,19+53,5A81,BrtnUNCmd,04+26,VW 509,2017-12-04,2017-05-22,0,1,0,0,0,0,0
36,5S77,PoldieCMD,19+53,5A81,BrtnUNCmd,03+57,VW 509,2017-12-07,2017-05-23,0,0,1,1,1,0,0
37,5S77,PoldieCMD,19+53,5A81,BrtnUNCmd,03+57,VW 509,2017-12-08,2017-05-26,0,0,0,0,0,1,0
38,5K60,Crewe CS,18+09,5D72,Crewe CS,05+48,VW 509,2017-12-09,2017-05-27,0,0,0,0,0,0,1
41,5S97,PoldieCMD,00+20,1A43,Holyhead,12.50,VW 509,2017-12-03,2017-10-15,1,0,0,0,0,0,0
42,1D93,Holyhead,22.53,5D35,BrtnUNCmd,11+00,VW 510,2017-12-03,2017-05-21,1,0,0,0,0,0,0
43,5K32,Crewe CS,22+32,1R13,Holyhead,04.48,VW 510,2017-12-08,2017-05-22,0,1,1,1,1,1,0
44,5D42,BrtnUNCmd,22+59,1A15,Holyhead,06.52,VW 510,2017-12-09,2017-05-27,0,0,0,0,0,0,1
45,5K91,Crewe CS,20+09,5M54,PoldieCMD,08+50,VW 511,2017-12-03,2017-05-21,1,0,0,0,0,0,0
46,1D92,Holyhead,21.56,5N14,Crewe CS,03+50,VW 511,2017-12-07,2017-05-22,0,1,1,1,1,0,0
47,5K92,Crewe CS,00+10,5N14,Crewe CS,03+50,VW 511,2017-12-08,2017-05-26,0,0,0,0,0,1,0
48,5D40,BrtnUNCmd,22+14,5C04,Crewe CS,03+50,VW 511,2017-12-09,2017-05-27,0,0,0,0,0,0,1
49,5D67,BrtnUNCmd,22+37,1A27,Holyhead,10.55,VW 512,2017-12-03,2017-05-21,1,0,0,0,0,0,0
50,5D44,BrtnUNCmd,00+01,5S34,Crewe CS,05+42,VW 512,2017-12-08,2017-05-22,0,1,1,1,1,1,0
51,5K80,Crewe CS,21+25,5D72,Crewe CS,05+48,VW 512,2017-12-09,2017-05-27,0,0,0,0,0,0,1
52,5K80,Crewe CS,21+09,5D83,BrtnUNCmd,09+27,VW 513,2017-12-03,2017-05-21,1,0,0,0,0,0,0
53,1D93,Holyhead,23.00,5D28,BrtnUNCmd,09+30,VW 513,2017-12-06,2017-05-22,0,1,1,1,0,0,0
54,1D93,Holyhead,23.00,5D28,BrtnUNCmd,09+30,VW 513,2017-12-08,2017-05-25,0,0,0,0,1,1,0
55,5K80,Crewe CS,21+25,5C04,Crewe CS,03+50,VW 513,2017-12-09,2017-05-27,0,0,0,0,0,0,1
57,5K94,Crewe CS,23+14,1R24,Holyhead,05.51,VW 514,2017-12-08,2017-05-22,0,1,1,1,1,1,0
58,1D91,Holyhead,20.54,1A20,Holyhead,07.55,VW 514,2017-12-09,2017-05-27,0,0,0,0,0,0,1
61,5S97,PoldieCMD,00+20,5D35,BrtnUNCmd,11+00,VW 514,2017-12-03,2017-10-15,1,0,0,0,0,0,0
63,5S77,PoldieCMD,19+53,1A13,Holyhead,06.55,VW 515,2017-12-07,2017-05-22,0,1,1,1,1,0,0
64,5K77,Crewe CS,00+37,1A13,Holyhead,06.55,VW 515,2017-12-08,2017-05-26,0,0,0,0,0,1,0
65,5D42,BrtnUNCmd,22+59,5J11,BrtnUNCmd,05+54,VW 515,2017-12-09,2017-05-27,0,0,0,0,0,0,1
67,5D67,BrtnUNCmd,22+37,5S35,BrtnUNCmd,08+29,VW 515,2017-12-03,2017-09-17,1,0,0,0,0,0,0
68,5K50,Crewe CS,21+53,5C93,Crewe CS,09+55,VW 516,2017-12-03,2017-05-21,1,0,0,0,0,0,0
69,5K32,Crewe CS,22+32,5A81,BrtnUNCmd,04+26,VW 516,2017-12-04,2017-05-22,0,1,0,0,0,0,0
70,5K32,Crewe CS,22+32,5A81,BrtnUNCmd,03+57,VW 516,2017-12-06,2017-05-23,0,0,1,1,0,0,0
71,5K32,Crewe CS,22+32,5A81,BrtnUNCmd,03+57,VW 516,2017-12-08,2017-05-25,0,0,0,0,1,1,0
72,5D40,BrtnUNCmd,22+14,5D80,BrtnUNCmd,04+46,VW 516,2017-12-09,2017-05-27,0,0,0,0,0,0,1
73,5K52,Crewe CS,23+42,5J53,BrtnUNCmd,13+04,VW 517,2017-12-03,2017-05-21,1,0,0,0,0,0,0
74,1D91,Holyhead,20.58,5R03,BrtnUNCmd,04+42,VW 517,2017-12-07,2017-05-22,0,1,1,1,1,0,0
75,1D91,Holyhead,20.58,5R03,BrtnUNCmd,04+42,VW 517,2017-12-08,2017-05-26,0,0,0,0,0,1,0
